"S,NO",Quiz (15),Assignment (10),MidTerm (25),Final (50),Total(100),LG,GP
1,11.3,9.3,23,32.9,77,B,3.00
2,12.3,8.3,19.5,28.6,69,C+,2.30
3,9.2,7.7,8,25.7,51,D,1.30
4,12.9,8.7,21,25.7,68,C+,2.30
5,11.3,8.7,21.5,40,82,B+,3.30
6,9.2,8,7.5,25.7,50,D,1.30
7,12.1,9.7,24,40,86,A-,3.70
8,10.8,8.3,20.5,25.7,65,C+,2.30
9,10.8,8.3,17.5,35.7,72,B-,2.70
10,11,8,12.5,27.1,59,C-,1.70
11,11.9,8.7,24,32.9,78,B,3.00
12,9.2,8,11.5,21.4,50,D,1.30
13,9.2,5,8,40,62,C,2.00
14,10,6,17,28.6,62,C,2.00
15,10.4,8.3,15.5,27.1,61,C,2.00
16,10,8.7,15,30,64,C,2.00
17,10,9,19,50,88,A-,3.70
18,9.2,8.3,17.5,28.6,64,C,2.00
19,10,8.3,18,21.4,58,C-,1.70
20,10.8,9,20,31.4,71,B-,2.70
21,10.4,8.3,13,25.7,57,C-,1.70
22,10,8,12.5,27.1,58,C-,1.70
23,11.7,8.7,17,20,57,C-,1.70
24,9.6,7.7,8,27.1,52,D,1.30
25,11.7,8.3,19.5,30,70,B-,2.70
26,11.7,8.7,19,25.7,65,C+,2.30
27,9.6,8,10.5,22.9,51,D,1.30
28,9.6,5,7.5,15.7,38,F,0.00
29,9.6,7.7,11,25.7,54,D,1.30
30,10.2,8.3,18,20,57,C-,1.70
31,9.2,5.3,9,15.7,39,F,0.00
32,10,8.3,16.5,25.7,61,C,2.00
33,10.2,5.3,10,14.3,40,F,0.00
34,10,8,12,28.6,59,C-,1.70
